Rating,Salary
6,77273
1,69078
4,32987
4,51074
8,58039
10,98828
4,68569
6,41100
3,71294
5,55819
8,38292
7,70444
9,50129
9,67644
2,72729
7,71808
8,32173
8,36874
9,91761
2,32757
6,42120
10,53842
9,99583
10,82462
5,73864
4,95094
1,51107
4,34930
6,79756
1,87308
3,50165
4,30100
9,83942
2,36037
4,84779
4,55247
4,82817
8,54813
1,78371
2,77354
10,86062
10,52957
1,68870
5,59849
8,98727
4,72661
3,70831
8,69308
3,33418
1,61739
1,84198
5,71790
6,51674
6,31337
7,66315
9,43657
5,35245
2,57342
5,33922
10,31221
9,76778
2,31924
2,86337
8,38901
10,71407
10,79502
4,50099
7,67028
8,33511
3,96209
1,64706
4,75518
6,55329
10,59419
5,73647
5,61649
7,84429
5,91046
5,72798
4,90278
5,58960
5,70738
9,57260
5,57822
4,40738
8,62308
6,42910
6,68464
1,33404
2,91302
6,40825
10,67010
4,80951
1,65459
6,57724
1,42404
2,72477
3,69021
5,40194
3,73569
1,74465
4,38266
3,68775
1,99140
8,98816
6,35162
10,68386
1,64202
3,66020
8,36448
3,77042
10,56214
3,55353
4,37426
4,41636
3,30612
4,99722
5,87961
2,72506
3,84888
10,73233
2,57045
5,50647
7,39120
9,88746
3,95635
4,86537
1,97890
1,85060
7,75790
1,95180
7,31608
4,84546
4,60105
9,41498
9,60360
9,41922
3,95219
4,78851
3,89693
1,89530
9,93366
9,76947
4,73449
9,82115
3,88530
9,32098
5,67734
4,97604
1,42918
5,68372
4,52893
7,70642
10,44881
9,66741
1,61782
9,91185
6,95802
10,74038
1,71574
10,75387
7,92834
6,57906
4,38819
2,34485
9,87525
1,65051
5,95323
10,41326
7,56956
6,77663
8,79272
9,77449
9,66444
10,83484
3,41477
9,74550
7,56152
7,37557
10,74069
2,42383
7,77456
9,65312
9,77312
4,62830
3,57018
4,89788
7,60301
4,97559
7,48821
6,65620
8,59267
1,79279
9,45708
5,74785
7,64790
6,55735
9,30592
3,50183
4,95354
10,95276
8,67437
6,41408
4,40096
5,72441
6,62884
4,88085
4,70703
8,92782
10,51649
10,89253
10,66361
8,75548
4,84462
3,56703
4,86526
10,54993
8,89268
8,57536
6,65044
2,97399
3,86638
3,95371
9,69421
2,71750
6,64658
9,89126
5,88523
1,45919
3,83743
6,63394
6,44859
1,85255
9,55374
2,97674
2,61010
1,53203
4,69789
9,42912
9,67285
5,59764
5,57661
1,85397
10,59459
4,74296
8,37008
4,48129
3,59893
2,57004
2,96945
3,54528
2,83478
5,75560
3,98246
6,44591
6,53059
6,72756
3,62891
6,61958
8,69228
8,90133
7,48013
2,59353
7,89580
8,39425
3,59363
4,64088
2,39694
10,70542
6,74709
10,83630
10,37011
3,86487
1,70605
10,87852
2,49521
10,46151
1,64176
7,51871
1,57034
5,83977
9,77320
5,80679
4,89855
4,89281
9,66720
9,82677
8,32963
1,76870
4,90781
9,70843
8,45265
8,54455
2,56743
9,99914
5,55136
8,75295
1,99988
5,81714
10,74296
1,56885
7,38804
5,50132
3,80053
5,74707
7,52616
4,68607
4,52898
8,39481
9,70068
6,94433
1,83123
9,50045
6,31291
5,87741
8,65300
5,64897
2,55754
4,42230
4,80863
10,60306
3,92997
6,42180
3,35802
4,38058
6,47553
8,50441
3,69381
8,34207
2,48670
7,69905
6,76617
1,44937
1,42120
4,57117
2,98134
10,66915
10,84019
7,75486
7,37802
8,84685
9,59442
9,96181
8,34039
1,39635
9,52708
7,51863
9,73699
10,96297
9,50381
4,63393
7,89843
2,66151
8,95112
5,32555
10,83752
3,90533
1,44707
9,62214
3,43195
8,91401
9,66076
5,64183
5,80973
2,37228
8,90027
7,87447
10,76783
5,44226
2,43596
6,60281
10,78008
8,54530
2,33467
4,40716
6,52901
8,90241
4,59111
7,98623
7,30131
8,92570
10,89864
2,31614
10,65695
7,67708
1,96827
4,88202
9,34845
5,51922
2,82222
5,98129
6,86492
1,71768
4,56952
2,96666
5,63363
5,71622
5,53616
1,94799
1,87427
9,73827
5,95017
7,74428
10,35130
4,84772
4,71808
3,97267
2,80512
3,72113
2,56418
4,34562
5,38889
2,70719
2,39103
1,98935
8,44552
9,34409
5,82026
4,73224
6,48701
7,36034
4,85060
3,35703
10,60391
9,60955
2,82315
5,52572
1,37951
9,64381
4,71470
10,37581
6,70580
6,37209
2,39690
8,69855
9,81473
7,31344
5,46620
8,59334
4,68986
6,47570
4,91096
7,82214
5,71333
8,74192
4,78428
1,96147
6,53289
10,77975
4,33995
8,76843
6,32352
6,84655
9,48058
1,76404
9,53299
4,40525
7,51707
10,82701
4,69603
3,36388
8,73593
1,44272
4,93472
1,46627
4,65349
7,60302
2,65983
10,65568
3,48065
10,82199
5,62329
10,47181
2,67328
4,41908
3,55700
5,91472
10,74113
8,32422
5,80933
10,36437
5,76670
2,79083
3,31631
8,53325
3,61388
4,84690
10,85167
8,99502
7,35596
7,52075
3,31004
4,57532
7,51227
1,98829
9,31064
1,87556
8,77708
7,61949
6,92013
